Koda,Besedilo
PROD_PAY_POINTS_MSG,"Plačilo z bonusi za izdelek"
POINTS_NOT_ALLOWED_MSG,Prepovedano
POINTS_ALLOWED_MSG,Dovoljeno
ONLY_POINTS_ALLOWED_MSG,"Plačati samo z bonusi"
POINTS_PRICE_MSG,"Stroški v bonusih"
POINTS_PRICE_DESC,"pustite prazno za samodejni preračun stroškov bonusih po tečaju, določeni v sistemu"
POINTS_AMOUNT_MSG,"Količina točk bonusov"
REWARD_POINTS_MSG,"Bonusov bo popolnjeno"
REWARD_POINTS_TYPE_MSG,"Vrste nagradnih bonusov"
REWARD_POINTS_AMOUNT_MSG,"Količina nagradnih bonusov"
PAY_WITH_POINTS_SYSTEM_MSG,"Priložnost plačila z bonusi"
PERCENT_PER_PROD_FULL_PRICE_MSG,"Odstotek od stroškov izdelka/opcije"
FIXED_AMOUNT_PER_PROD_MSG,"Fiksni znesek na izdelek"
PERCENT_PER_PROD_SELL_PRICE_MSG,"Odstotek od maloprodajne cene izdelka"
PERCENT_PER_PROD_SELL_BUY_MSG,"Odstotek od dobičkov (maloprodaja minus nakup)"
POINTS_CONVERSION_RATE_MSG,"Tečaj bonusov glede na uporabljeno valuto"
SHIPPING_PAY_POINTS_MSG,"Plačilo dostave z bonusi"
ORDER_OPTIONS_PAY_POINTS_MSG,"Plačilo  opcij z bonusi"
POINTS_DECIMALS_MSG,"Količina znakov, po ločilu v znesku bonusov"
ACCUMULATE_POINTS_MSG,"Kopičenje bonusov"
ACCUMULATE_POINTS_FOR_POINTS_MSG,"Dovoliti kopičenje bonusov pri plačilu izdelkov z bonusi?"
POINTS_BALANCE_MSG,"Stanje bonusov"
POINTS_REMAINING_MSG,"Bonusi na računu"
POINTS_NEEDED_TOTAL_MSG,"Skupaj potrebno bonusov"
POINTS_CHECKBOXES_SELECT_MSG,"Označite izdelki in opcije, ki želite kupiti za bonusi"
POINTS_ENOUGH_ERROR,"Nimate dovolj bonusov ({points_amount}) da bi plačati za nakup"
CREDIT_BALANCE_MSG,"Credit Računa"
REWARDS_MSG,"Dodajanje bonusov in kreditov"
REWARD_CREDITS_MSG,"Bo dodan kredit"
REWARD_CREDITS_TYPE_MSG,"Vrste bonusov"
REWARD_CREDITS_AMOUNT_MSG,Bonusov
REWARD_CREDITS_TOTAL_MSG,"Skupaj nagradnih kreditov"
PRODUCT_REWARDS_MSG,Bonusi
POINTS_AND_CREDITS_MSG,"Bonusi in krediti"
CREDITS_MSG,Krediti
DISCOUNT_PRICE_TYPE_MSG,"Vrsta popusta"
PARENT_OPTION_MSG,"Opcija starša"
PARENT_OPTION_DESC,"Opcija starša, pri izbiri uporabnikom katere, ta opcija bo na voljo"
PARENT_OPTION_VALUE_MSG,"Ime opcije starša"
PARENT_OPTION_VALUE_DESC,"Vrednost opcije starša, k kareri bo vezana ta opcija"
PARENT_COMPONENT_SELECTION_MSG,"Ibira komponente starša"
PARENT_COMPONENT_MSG,"Komponenta starša"
ASSIGN_OPTION_MSG,"Dodajanje opcije"
ASSIGN_COMPONENT_MSG,"Dodajanje komponente"
ONLY_FOR_LABEL_MSG,"Samo za <b>Statičnega napisa</b>"
AUTO_ADD_TO_ALL_PRODS_MSG,"Samodejno dodajai za vse izdelke"
SELECT_OPTION_AND_VALUES_MSG,"Izbirati to opcijo in ceno opcije za vsak izdelek posamezno"
SELECT_OPTION_ALL_VALUES_MSG,"Izbirati to opcijo z vsemi cenami za vsak izdelek posamezno"
SINGLE_TOTAL_PRICE_MSG,"Ločeni skupni stroški"
FOR_SPECIFIED_CONTOL_MSG,"Za izbrano vrsto upravljanja"
FOR_SPECIFIED_LETTER_MSG,"Za izbrano vrsto simbola"
FOR_SPECIFIED_NONSPACE_MSG,"Za izbranega simbola brez presledka"
SUMMARY_DISCOUNT_MSG,"Skupni popust"
FREE_CHARGE_CONTROLS_MSG,"Brezplačne vrste upravljanja"
FREE_CHARGE_LETTERS_MSG,"Brezplačni simboli"
FREE_CHARGE_NONSPACE_MSG,"Brezplačni simboli brez presledka"
MAX_LETTERS_ALL_CONTROLS_MSG,"Največja količina simbolov za vse vrste upravljanja"
MAX_LETTERS_EACH_CONTROL_MSG,"Največja količina simbolov za vsako vrsto upravljanja"
MAX_NONSPACE_ALL_CONTROLS_MSG,"Največja količina simbolov brez presledka za vse vrste upravljanja"
MAX_NONSPACE_EACH_CONTROL_MSG,"Največja količina simbolov brez presledka za vsako vrsto upravljanja"
MAX_LIMIT_MSG,"Najvišja omejitev"
MAX_LIMIT_TYPE_MSG,"Vrsta največje omejitve"
MAX_LIMIT_LENGTH_MSG,"Največja omejitev dolžine"
PRODUCT_ID_NO_LONGER_EXISTS_MSG,"Izdelek z ID '<b>{item_id}</b>' ni naveden v bazi"
PROD_TYPE_ID_NO_LONGER_EXISTS_MSG,"Vrsta izdelka с ID '<b>{item_type_id}</b>' ni navedena v bazi"
STOCK_AND_SHIPPING_MSG,"Skladišče in Dostava"
IMAGES_AND_APPEARANCE_MSG,"Slika и Prikaz"
MINIMUM_ITEMS_QTY_MSG,"Najmanjša količina"
MAXIMUM_ITEMS_QTY_MSG,"Največja količina"
MINIMUM_ITEMS_QTY_NOTE,"najmanjša količina za naročilo"
MAXIMUM_ITEMS_QTY_NOTE,"največja količina za naročilo"
QTY_INCREMENT_MSG,"Korak povečanja pri izbiri prirastka"
ALLOWED_QUANTITIES_MSG,"Dovoljena količina"
ALLOWED_QUANTITIES_NOTE,"Dovoljena količina izdelka za naročilo"
FREE_SHIPPING_MSG,"Brezplačna dostava"
FREE_SHIPPING_DESC,"ta opcija izključuje dodatno plačilo za dostavo tega izdelka in za njegovo težo"
HAS_BEEN_SUCCESSFULLY_COPIED_MSG,"uspešno kopirano v naslednje izdelke:"
ALREADY_COPIED_MSG,"že kopirano v naslednje izdelke:"
ALLOW_PRODUCT_COMPARISON_MSG,"Dovoliti primerjavo izdelkov"
FULL_DESCRIPTION_TYPE_MSG,"Popoln opis"
IS_SPECIAL_OFFER_MSG,"Posebna ponudba"
HIDE_BUTTON_PROD_LIST_MSG,"Skriti gumb /Kupiti/ na strani seznama izdelkov"
HIDE_BUTTON_PROD_DETAILS_MSG,"Skriti gumb /Kupiti/ na podrobni strani izdelka"
HIDE_OFF_LIMITS_PRODUCTS_MSG,"Skriti prepovedane izdelke"
IS_DOWNLOADABLE_MSG,"Za prenos"
DIRECT_BUY_LINK_MSG,"Neposredna povezava za nakup"
SHIPPING_COST_MSG,"Stroški dostave"
SELECT_ONE_PRODUCT_MSG,"Najprej izberite vsaj en izdelek, prosim."
SELECT_ONE_PRODUCT_TYPE_MSG,"Najprej izberite vsaj eno vrsto izdelka, prosim"
ADD_COMPONENTS_TO_PRODUCTS_MSG,"Dodati komponento na druge izdelke"
ADD_COMPONENTS_TO_PRODUCT_TYPES_MSG,"Dodati izdelke na druge vrste izdelkov"
COPY_COMPONENTS_TO_PRODUCTS_MSG,"Kopirati komponente za izbrane izdelke"
COPY_COMPONENTS_TO_PRODUCT_TYPES_MSG,"Kopirati komponente za izbrane izdelkov"
SUCCESSFULLY_COPIED_TO_PRODUCT_TYPES_MSG,"uspešno kopirano za naslednje izdelke:"
ALREADY_COPIED_TO_PRODUCT_TYPES_MSG,"Že kopirano za naslednje vrste izdelkov:"
CHOOSE_OPTIONS_MSG,"Izberite opcije"
EDIT_OPTIONS_MSG,"Urediti opcije"
UPDATE_OPTIONS_MSG,"Posodobiti opcije"
PRODUCT_TABS_MSG,"Zavihki izdelkov"
CUSTOM_TABS_MSG,"Dodatni zavihki"
CART_TOTAL_MSG,"Skupni stroški naročanja"
PARTIAL_PAYMENT_MSG,"Delno plačilo"
AMOUNT_ALREADY_PAID_MSG,"Že plačan znesek"
AMOUNT_TO_PAY_MSG,"Znesek za plačilo"
CONTINUE_SHOPPING_MSG,"Vrniti se v katalog"
REMOVE_FROM_CART_MSG,Zbrisati
EMPTY_CART_MSG,"Vaša košarica je prazna"
CLEAR_CART_MSG,"Očistiti košarico"
PRE_ORDER_MSG,Prednaročilo
BUY_NOW_MSG,Kupiti
ADD_TO_CART_MSG,"V Košarico"
ADD_TO_WISHLIST_MSG,"V Priljubljene"
VIEW_CART_MSG,"Pregled košarice"
AMEND_CART_MSG,"Zamenjati košarico"
IN_CART_MSG,"V košarici"
HIDE_BUTTON_MSG,"Skriti gumb '{button_name}'"
MULTI_ADD_MSG,"Multi Dodajanje"
MULTI_ADD_DESC,"Dodati en in več izdelkov istočasno"
MY_SAVED_CARTS_MSG,"Shranjeno v košarici"
MY_SAVED_CARTS_DESC,"Pregled/okrevanje shranjenega v košarici"
NO_CARTS_MSG,"Košare še niste shranili"
SAVE_CART_TITLE,"Shraniti Vašo košarico"
SAVE_CART_BUTTON,"Shraniti košarico"
SAVE_CART_INFO_MSG,"Trenutno košarico lahko shranite z vso vsebino in jo kadar koli obnovite. Ta funkcija je primerna, če na primer pred oddajo naročila potrebujete čas za razmislek ali posvet. Če želite shraniti, vnesite katero koli ime košarice in kliknite ""Shraniti košarico"". Prejeli boste edinstveno številko, ki se uporablja skupaj z imenom košare za obnovitev njene vsebine. Če ste registrirani, se lahko vrnete v shranjeno košarico na strani z osebnimi podatki."
SAVE_CART_EMAIL_NOTE,"Vnesite svoj e-poštni naslov, da boste prejeli kopijo shranjene košarice, skupaj s številko in vozičkom."
CART_NO_FIELD,"Številka košarice"
CART_NAME_FIELD,"Ime košarice"
CART_SAVED_DATE_COLUMN,"Datum shranjevanja"
CART_TOTAL_COLUMN,"Znesek košarice"
CART_SAVED_MSG,"Košarica je shranjena pod številko <b>{cart_id}</b>."
RETRIEVE_CART_TITLE,"Okrevanje košarice"
RETRIEVE_CART_BUTTON,"Okrevati košarico"
RETRIEVE_CART_INFO_MSG,"Vnesite številko in ime shranjene košarice, da jo obnovite"
RETRIEVE_CART_NOTE_MSG,"Upoštevajte, da bo obnovljena košarica nadomestila sedanjo. Poskrbite, da boste shranili vse spremembe."
CART_RETRIEVED_MSG,"Košarica je obnovljena."
RETRIEVE_CART_ERROR,"Košarice ni mogoče obnoviti. <br>Prepričajte se, da so vneseni podatki pravilni in poskusite znova."
PROD_NOT_AVAILABLE_ERROR,"Izdelek manjka na skladišču, naročeno bo prednaročilo"
PROD_OPTIONS_MISSED_ERROR,"Nekaj ​​opcije za izdelek manjka. Vrnite se na stran izdelka, če želite znova izbrati."
PROD_PRICE_CHANGED_MSG,"Cena izdelka se je spremenila"
GOTO_CHECKOUT_MSG,"Naročiti naročilo"
CHECKOUT_WITHOUT_MSG,"Naročilo brez registracije"
OPEN_AND_CHECKOUT_MSG,"Registrirati se kot"
VIEW_COMPARE_MSG,"Prikazati primerjalni seznam"
REMOVE_FROM_CART_JS,"Ali ste prepričani, da želite izbrisati {item_type} iz Vaše košarice?"
CLEAR_CART_JS,"Ali ste prepričani, da želite izbrisati vse izdelke iz Vaše košarice?"
CART_QTY_ZERO_JS,"Se boste spremenili količino s ' {old_quantity} 'do' 0 '. To bo povzročilo brisanje' {product_name} ' iz Vaše košarice. \n Nadaljevati?"
ALTER_CART_QTY_JS,"Se boste spremenili količino ' {product_name} 'od' {old_quantity} 'do' {new_quantity} '.Nadaljevati?"
CONFIRM_ADD_PRODUCT_MSG,"Dodati ta izdelek v košarico?"
PRODUCT_OUT_STOCK_MSG,"Na žalost, tega izdelka ne morete kupiti, ker ga trenutno ni na skladišču."
REQUIRED_PROPERTY_MSG,"Izberite  {property_name} za {product_name}, prosim."
PRODUCT_LIMIT_MSG,"Oprostite, ne morete naročiti več kot {limit_quantity} шт. {product_name}."
PRODUCT_MIN_LIMIT_MSG,"Na žalost, ne moremo sprejeti naročilo za manj kot {limit_quantity} kosov {product_name}."
PRODUCT_QUANTITY_ERROR,"Ne morate dodati {quantity} izdelek('-kov') {product_name}."
PRODUCT_ALLOWED_QUANTITIES_MSG,"Dovoljeno število enot za ta položaj: {quantities_list}"
ADDED_PRODUCT_MSG,"Dodano v košarico"
ADDED_TO_WISHLIST_MSG,"{product_name} dodano na seznam želja"
